LineNo,TimeUS,Status,GMS,GWk,NSats,HDop,Lat,Lng,Alt,Spd,GCrs,VZ,U
4827,2649479423,3,466013800,1949,9,1,47.4985579,19.1990324,145.34,0.15,306.8699,-0.09999999,1
4891,2649699483,3,466014000,1949,9,1,47.4985579,19.1990322,145.3,0.04242641,315,0.08,1
4949,2649879477,3,466014200,1949,9,1,47.4985581,19.1990322,145.44,0.12,90,-0.03,1
5010,2650079382,3,466014400,1949,9,1,47.4985581,19.1990323,145.46,0.06082762,260.5377,-0.08,1
5070,2650279571,3,466014600,1949,9,1,47.4985582,19.199032,145.5,0.1081665,303.6901,-0.06,1
5134,2650479341,3,466014800,1949,9,1,47.4985583,19.1990319,145.52,0.02236068,243.435,-0.14,1
5194,2650679443,3,466015000,1949,9,1,47.4985583,19.1990318,145.52,0.1029563,299.0546,-0.09999999,1
5254,2650879312,3,466015200,1949,9,1,47.4985586,19.1990315,145.57,0.1280625,321.3402,-0.22,1
5314,2651079511,3,466015400,1949,9,1,47.4985587,19.1990314,145.6,0.04,0,-0.12,1
5374,2651279528,3,466015600,1949,9,1,47.4985586,19.1990313,145.57,0.1118034,259.6952,0,1
5436,2651479373,3,466015800,1949,9,1,47.4985586,19.1990311,145.55,0.07615773,293.1986,-0.09,1
5496,2651679449,3,466016000,1949,9,1,47.4985588,19.1990309,145.55,0.1555635,315,0.17,1
5556,2651879584,3,466016200,1949,9,1,47.4985589,19.1990307,145.54,0.08944272,243.435,0.04,1
5616,2652079430,3,466016400,1949,9,1,47.4985589,19.1990306,145.53,0.0728011,15.94539,-0.04,1
5678,2652279604,3,466016600,1949,9,1,47.4985588,19.1990307,145.5,0.1529706,191.3099,0.11,1
5740,2652479467,3,466016800,1949,9,1,47.4985588,19.1990307,145.48,0.04,0,0.04,1
5800,2652679532,3,466017000,1949,9,1,47.4985587,19.1990309,145.44,0.1345362,138.0128,0.01,1
5860,2652879549,3,466017200,1949,9,1,47.4985587,19.1990311,145.45,0.05656854,45,-0.07,1
5920,2653079550,3,466017400,1949,9,1,47.4985587,19.1990311,145.48,0.03605551,303.6901,-0.12,1
5981,2653279601,3,466017600,1949,9,1,47.4985588,19.1990312,145.48,0.04242641,45,0.02,1
6043,2653479354,3,466017800,1949,9,1,47.498559,19.1990312,145.49,0.1140175,344.7449,-0.06,1
6103,2653679510,3,466018000,1949,9,1,47.498559,19.1990313,145.49,0.03,90,0,1
6165,2653879432,3,466018200,1949,9,1,47.498559,19.1990313,145.46,0.1131371,225,0.19,1
